Date,Category,Item,Cost,Sale,Profit,Payment
2026-02-13,Accessories,Jazz cash ,1.0,501.0,500.0,Cash
2026-02-13,Accessories,Easypaisa,1.0,0.0,-1.0,Cash
2026-02-13,Accessories,Easypaisa,1.0,321.0,320.0,Cash
2026-02-13,Accessories,Airpods ,0.0,0.0,0.0,Cash
2026-02-14,Accessories,Airpods ,550.0,1100.0,550.0,Cash
2026-02-14,Accessories,Easypisa ,1.0,201.0,200.0,Cash
2026-02-14,Accessories,Jazz cash ,1.0,201.0,200.0,Cash
2026-02-14,Accessories,Easypaisa,1.0,71.0,70.0,Cash
2026-02-14,Accessories,Penel ,2500.0,5500.0,3000.0,Cash
2026-02-14,Accessories,Easypaisa,1.0,200.0,199.0,Cash
2026-02-14,Accessories,EasyPaisa,1.0,31.0,30.0,Cash
2026-02-14,Accessories,Easypaisa,1.0,40.0,39.0,Cash
2026-02-14,Accessories,Easypaisa,1.0,41.0,40.0,Cash
2026-02-14,Accessories,Adaptor,1.0,501.0,500.0,Cash
2026-02-15,Accessories,Easypaisa,1.0,11.0,10.0,Cash
2026-02-15,Accessories,EasyPaisa,1.0,21.0,20.0,Cash
2026-02-15,Accessories,Hand free,100.0,200.0,100.0,Cash
2026-02-15,Accessories,Hand free,100.0,250.0,150.0,Cash
2026-02-15,Accessories,Easypaisa,1.0,21.0,20.0,Cash
2026-02-15,Accessories,EasyPaisa,1.0,41.0,40.0,Cash
2026-02-15,Accessories,EasyPaisa,1.0,101.0,100.0,Cash
2026-02-15,Accessories,Repairing,350.0,700.0,350.0,Cash
2026-02-16,Accessories,Adopter cable ,500.0,1100.0,600.0,Cash
2026-02-16,Accessories,Juck,1.0,401.0,400.0,Cash
2026-02-16,Accessories,Jazz cash ,1.0,351.0,350.0,Cash
2026-02-15,Ghar ka Kharcha,پچھلے تین دنوں کا گھر کا خرچہ,3500.0,0.0,0.0,Cash
2026-02-16,Accessories,Jazz cash ,1.0,91.0,90.0,Cash
2026-02-16,Accessories,Jazz cash ,1.0,440.0,439.0,Cash
2026-02-16,Accessories,Jazz cash ,10.0,100.0,90.0,Cash
2026-02-16,Ghar ka Kharcha,گھی پتی اور چکن لیا,800.0,0.0,0.0,Cash
2026-02-16,Accessories,Gum,10.0,310.0,300.0,Cash
2026-02-16,Accessories,Jazz cash ,1.0,80.0,79.0,Cash
2026-02-16,Accessories,Jazz cash ,1.0,21.0,20.0,Cash
2026-02-16,Accessories,Jazz cash ,1.0,50.0,49.0,Cash
2026-02-16,Accessories,Airpods ,600.0,1250.0,650.0,Cash
2026-02-16,Accessories,Easypaisa,1.0,301.0,300.0,Cash
2026-02-17,Accessories,All mix,1800.0,3600.0,1800.0,Cash
2026-02-17,Accessories,Mix ,10.0,500.0,490.0,Cash
2026-02-17,Accessories,Jazz cash ,1.0,61.0,60.0,Cash
2026-02-17,Accessories,Jazz cash ,1.0,201.0,200.0,Cash
2026-02-17,Accessories,Jazz cash ,1.0,51.0,50.0,Cash
2026-02-17,Repairing,Strip ,300.0,1000.0,700.0,Cash
2026-02-18,Accessories,Jazz cash ,1.0,180.0,179.0,Cash
2026-02-18,Accessories,Jazz cash ,1.0,50.0,49.0,Cash
2026-02-18,Accessories,Cable,300.0,700.0,400.0,Cash
2026-02-18,Accessories,Mix,40.0,1100.0,1060.0,Cash
2026-02-18,Accessories,Jazzcash ,1.0,81.0,80.0,Cash
2026-02-18,Accessories,Easypaisa ,1.0,101.0,100.0,Cash
2026-02-18,Accessories,Jazz cash ,1.0,21.0,20.0,Cash
2026-02-18,Accessories,Jazzcash ,1.0,111.0,110.0,Cash
2026-02-18,Accessories,Jazcash,1.0,201.0,200.0,Cash
2026-02-19,Accessories,Jazz cash  all ,1.0,801.0,800.0,Cash
2026-02-19,Repairing,Juck ,50.0,1000.0,950.0,Cash
2026-02-19,Accessories,Penel ,1800.0,3500.0,1700.0,Cash
2026-02-19,Accessories,Hand free or  charger,300.0,1100.0,800.0,Cash
2026-02-18,Ghar ka Kharcha,گھر کا خرچہ,1000.0,0.0,0.0,Cash
2026-02-19,Ghar ka Kharcha,گھر کا خرچہ,2000.0,0.0,0.0,Cash
2026-02-20,Accessories,Easypaisa,1.0,101.0,100.0,Cash
2026-02-20,Accessories,EasyPaisa ,1.0,200.0,199.0,Cash
2026-02-20,Accessories,Jazz CASH ,1.0,71.0,70.0,Cash
2026-02-20,Accessories,Easypisa ,1.0,51.0,50.0,Cash
2026-02-21,Accessories,Jazz cash ,1.0,1350.0,1349.0,Cash
2026-02-21,Repairing,Juck,5.0,800.0,795.0,Cash
2026-02-21,Accessories,Cable ,110.0,300.0,190.0,Cash
2026-02-21,Ghar ka Kharcha,گھر کا خرچہ سبزی اور فروٹ کے جو مجھ سے لے گئے تھے,850.0,0.0,0.0,Cash
2026-02-22,Accessories,Easypisa jazz Cash ,1.0,1120.0,1119.0,Cash
2026-02-22,Accessories,Airpods ,600.0,1500.0,900.0,Cash
2026-02-23,Accessories,Totally mix,250.0,2000.0,1750.0,Cash
2026-02-23,Ghar ka Kharcha,Ghar ka ,800.0,0.0,0.0,Cash
2026-02-24,Accessories,Mixed ,200.0,2000.0,1800.0,Cash
2026-02-24,Ghar ka Kharcha,Ghar ka kharacha ,800.0,0.0,0.0,Cash
2026-02-25,Repairing,Gum,10.0,380.0,370.0,Cash
2026-02-25,Accessories,Jazz Cash ,1.0,20.0,19.0,Cash
2026-02-25,Accessories,Easypaisa ,1.0,90.0,89.0,Cash
2026-02-25,Repairing,Charging strip ,300.0,800.0,500.0,Cash
2026-02-25,Accessories,Easypaisa,1.0,31.0,30.0,Cash
2026-02-25,Accessories,Jazz cash & easypisa ,10.0,510.0,500.0,Cash
2026-02-25,Accessories,Jazz cash ,1.0,140.0,139.0,Cash
2026-02-25,Accessories,Handfree ,350.0,740.0,390.0,Cash
2026-02-25,Ghar ka Kharcha,All mix ,1000.0,0.0,0.0,Cash
2026-02-26,Accessories,Jazz cash ,40.0,500.0,460.0,Cash
2026-02-26,Accessories,Jazz cash ,1.0,101.0,100.0,Cash
2026-02-26,Accessories,Jazz cash ,1.0,350.0,349.0,Cash
2026-02-26,Accessories,Juck,10.0,510.0,500.0,Cash
2026-02-26,Accessories,Jazz cash ,1.0,151.0,150.0,Cash
2026-02-26,Accessories,Juck ,10.0,360.0,350.0,Cash
2026-02-27,Accessories,Jazz Cash ,1.0,121.0,120.0,Cash
2026-02-27,Accessories,Jazz cash ,10.0,500.0,490.0,Cash
2026-02-26,Ghar ka Kharcha,Saman ,1000.0,0.0,0.0,Cash
2026-02-27,Accessories,Jazz Cash ,1.0,101.0,100.0,Cash
2026-02-27,Accessories,Jazz cash ,1.0,201.0,200.0,Cash
2026-02-27,Ghar ka Kharcha,Guests ,3500.0,0.0,0.0,Cash
2026-02-28,Accessories,Mis all ,200.0,1200.0,1000.0,Cash
2026-02-28,Ghar ka Kharcha,1000,0.0,0.0,0.0,Cash
2026-02-28,Ghar ka Kharcha,Kharacha ,1000.0,0.0,0.0,Cash
2026-03-01,Accessories,Flash,200.0,500.0,300.0,Cash
2026-03-01,Accessories,Jazz cash ,1.0,51.0,50.0,Cash
2026-03-01,Accessories,Jazz cash ,10.0,410.0,400.0,Cash
2026-03-01,Accessories,Jazz cash ,1.0,50.0,49.0,Cash
2026-03-01,Accessories,Jazz Cash ,1.0,100.0,99.0,Cash
